SubjectID,researchdate,BrandID,CategoryDelivery,daily_ots,score,threshold,reason,Brand
1585271561337036442,2025-06-01,197627,Обувь,32645.463,32645.463,31355.40890999999,Exceeds 99.0th percentile for this day (n=14),adidas
1954574044080790082,2025-06-01,198484,Смартфоны,36236.045,36236.045,34833.91055,Exceeds 99.0th percentile for this day (n=58),apple iphone
2963380814038309056,2025-06-01,200547,Обувь,31242.9,31242.9,25766.234800000002,"Exceeds 99.0th percentile for brand (few daily obs, n=2)",bona
153131677170000130,2025-06-01,202423,Обувь,12845.596,12845.596,12525.053179999997,Exceeds 99.0th percentile for this day (n=14),crocs
8863090172069209728,2025-06-01,204459,Краски для волос,10482.686,10482.686,10232.4477,Exceeds 99.0th percentile for this day (n=6),estel
6629304165209876947,2025-06-01,205326,Смартфоны,35201.512,35201.512,30910.576749999986,"Exceeds 99.0th percentile for brand (few daily obs, n=1)",fly (электроника)
5332267584642577320,2025-06-01,206402,Смартфоны,11950.106,11950.106,11732.66576,Exceeds 99.0th percentile for this day (n=5),google pixel
504410218347672841,2025-06-01,206519,Универсальные чистящие средства,7655.232,7655.232,7621.3576,Exceeds 99.0th percentile for this day (n=6),grass
1306806058556077568,2025-06-01,207447,Смартфоны,285217.91000000003,285217.91000000003,237381.5322899997,Exceeds 99.0th percentile for this day (n=20),honor
2017619186364528145,2025-06-01,207543,Смарт-часы и браслеты,8592.432,8592.432,8463.42576,Exceeds 99.0th percentile for this day (n=9),huawei
1306806058556077568,2025-06-01,207543,Смартфоны,57043.582,57043.582,50511.66989999998,Exceeds 99.0th percentile for this day (n=15),huawei
801778764757595008,2025-06-01,207558,Подгузники,38872.122,38872.122,33255.514,"Exceeds 99.0th percentile for brand (few daily obs, n=3)",huggies
1585271561336701604,2025-06-01,207724,Средства для умывания и ухода за лицом,6270.308,6270.308,6186.26635,Exceeds 99.0th percentile for this day (n=6),icon skin
4827866083748768960,2025-06-01,207943,Смартфоны,11274.504,11274.504,11191.24092,Exceeds 99.0th percentile for this day (n=13),infinix
1585271561337053954,2025-06-01,208375,Аудиотехника,8781.777,8781.777,8722.05364,Exceeds 99.0th percentile for this day (n=9),jbl (аудиотехника)
